url,runWarnings,notiz
http://www.drk-kliniken-berlin.de, The page may not be loading as expected because your test URL (http://www.drk-kliniken-berlin.de/) was redirected to https://www.drk-kliniken-berlin.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.m1-beauty.de, The page may not be loading as expected because your test URL (http://www.m1-beauty.de/) was redirected to https://www.m1-beauty.de/en/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.alexianer-berlin-hedwikkliniken.de, DNS servers could not resolve the provided domain., "http://"-Prefix manuell hinzugefügt
http://www.uke.de, The page may not be loading as expected because your test URL (http://www.uke.de/) was redirected to https://www.uke.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
https://www.asklepios.com/hamburg/sankt-georg/, , 
https://www.asklepios.com/barmbek/, The page may not be loading as expected because your test URL (https://www.asklepios.com/barmbek/) was redirected to https://www.asklepios.com/hamburg/barmbek/. Try testing the second URL directly., 
https://www.schoen-klinik.de/hamburg-eilbek, , 
https://www.asklepios.com/hamburg/altona/, , 
https://www.asklepios.com/harburg/, The page may not be loading as expected because your test URL (https://www.asklepios.com/harburg/) was redirected to https://www.asklepios.com/hamburg/harburg/. Try testing the second URL directly., 
https://www.asklepios.com/hamburg/nord/, , 
https://www.asklepios.com/wandsbek/, The page may not be loading as expected because your test URL (https://www.asklepios.com/wandsbek/) was redirected to https://www.asklepios.com/hamburg/wandsbek/. Try testing the second URL directly., 
https://hamburg.bwkrankenhaus.de/startseite.html, , 
https://www.albertinen.de/, , 
https://www.kinderkrankenhaus.net/, , 
https://www.albertinen.de/gesundheit-medizin/evangelisches-amalie-sieveking-krankenhaus/uebersicht/, , 
https://www.bg-kliniken.de/klinikum-hamburg/, , 
https://www.asklepios.com/hamburg/westklinikum/, , 
https://www.evangelisches-krankenhaus-alsterdorf.de/, , 
http://www.klinikum-bremen-ldw.de/, The page may not be loading as expected because your test URL (http://www.klinikum-bremen-ldw.de/) was redirected to https://www.gesundheitnord.de/ldw.html. Try testing the second URL directly., 
http://www.diako-bremen.de/, The page may not be loading as expected because your test URL (http://www.diako-bremen.de/) was redirected to https://www.diakobremen.de/. Try testing the second URL directly., 
http://www.sjs-bremen.de/, The page may not be loading as expected because your test URL (http://www.sjs-bremen.de/) was redirected to https://www.sjs-bremen.de/startseite.html. Try testing the second URL directly., 
http://www.roteskreuzkrankenhaus.de/, The page may not be loading as expected because your test URL (http://www.roteskreuzkrankenhaus.de/) was redirected to https://www.roteskreuzkrankenhaus.de/. Try testing the second URL directly., 
http://www.roland-klinik.de/, The page may not be loading as expected because your test URL (http://www.roland-klinik.de/) was redirected to https://www.roland-klinik.de/. Try testing the second URL directly., 
http://www.ameos.eu/, The page may not be loading as expected because your test URL (http://www.ameos.eu/) was redirected to https://www.ameos.eu/. Try testing the second URL directly., 
http://www.paracelsus-kliniken.de/bremen, The page may not be loading as expected because your test URL (http://www.paracelsus-kliniken.de/bremen) was redirected to https://www.paracelsus-kliniken.de/akut/bremen. Try testing the second URL directly., 
http://www.klinikum-bremerhaven.de/, The page may not be loading as expected because your test URL (http://www.klinikum-bremerhaven.de/) was redirected to https://www.klinikum-bremerhaven.de/. Try testing the second URL directly., 
http://www.ameos.eu/standorte/ameos-west/bremerhaven/ameos-klinikum-am-buergerpark-bremerhaven/, The page may not be loading as expected because your test URL (http://www.ameos.eu/standorte/ameos-west/bremerhaven/ameos-klinikum-am-buergerpark-bremerhaven/) was redirected to https://www.ameos.eu/standorte/ameos-west/bremerhaven/ameos-klinikum-am-buergerpark-bremerhaven/. Try testing the second URL directly., 
https://www.klinikum-saarbruecken.de/, , 
http://sb.shg-kliniken.de/, The page may not be loading as expected because your test URL (http://sb.shg-kliniken.de/) was redirected to https://www.shg-kliniken.de/sonnenberg/. Try testing the second URL directly., 
https://www.shg-stahl.de/, , 
https://www.shg-kliniken.de/merzig/, , 
https://www.kksaar.de/Klinik_Puettlingen.php, , 
https://www.kksaar.de/Klinik_Sulzbach.php, , 
http://www.uniklinikum-saarland.de/de/, , 
https://www.saarpfalz-kreis.de/gesundheitspark/kreiskrankenhaus-st-ingbert-gmbh, , 
http://www.sankt-nikolaus-hospital.de/, , 
https://www.drk-kliniken-saar.de/sr/saarlouis/, , 
https://www.drk-kliniken-saar.de/sr/mettlach/, , 
https://www.caritasklinikum.de/, INVALID URL, 
https://www.kreuznacherdiakonie.de/krankenhaeuser/diakonie-klinikum-neunkirchen/, , 
https://www.kreuznacherdiakonie.de/krankenhaeuser/fliedner-krankenhaus-neunkirchen/, , 
https://www.kreuznacherdiakonie.de/krankenhaeuser/ev-stadtkrankenhaus-saarbruecken/, , 
https://www.marienhausklinik-ottweiler.de/, The page may not be loading as expected because your test URL (https://www.marienhausklinik-ottweiler.de/) was redirected to https://www.marienhausklinik-ottweiler.de/startseite. Try testing the second URL directly., 
http://Marienhausklinik St.Josef Kohlhof, INVALID URL, "http://"-Prefix manuell hinzugefügt
https://www.marienhaus-st-wendel-ottweiler.de/, The page may not be loading as expected because your test URL (https://www.marienhaus-st-wendel-ottweiler.de/) was redirected to https://www.marienhaus-st-wendel-ottweiler.de/startseite. Try testing the second URL directly., 
https://www.kliniken.de/krankenhaus/marienhausklinik-st-josef-losheim-am-see-1620K.html, , 
https://www.marienhaus-klinikum-saar.de/, The page may not be loading as expected because your test URL (https://www.marienhaus-klinikum-saar.de/) was redirected to https://www.marienhaus-klinikum-saar.de/startseite. Try testing the second URL directly., 
https://www.caritas-krankenhaus-lebach.de/willkommen, , 
https://www.median-kliniken.de/de/median-klinik-berus/, , 
https://www.sana.de/bad-doberan, , 
https://www.sana.de/ruegen, , 
https://kmg-kliniken.de/kmg-klinik-boizenburg/, , 
https://www.warnow-klinik.de/, The page may not be loading as expected because your test URL (https://www.warnow-klinik.de/) was redirected to https://www.warnow-klinik.de/home.html. Try testing the second URL directly., 
https://www.krankenhaus-am-crivitzer-see.de/, , 
http://www.kkh-demmin.de/, The page may not be loading as expected because your test URL (http://www.kkh-demmin.de/) was redirected to http://www.kkh-demmin.de/start/index.php?rubric=Startseite&PHPSESSID=fa58df88ac7c310b6b0ed1062e94cd7d. Try testing the second URL directly., 
https://www.medizin.uni-greifswald.de/, The page may not be loading as expected because your test URL (https://www.medizin.uni-greifswald.de/) was redirected to https://www.medizin.uni-greifswald.de/de/home/. Try testing the second URL directly., 
https://odebrecht-stiftung.de/evangelisches-krankenhaus-bethanien-ggmbh/, , 
https://www.bdh-klinik-greifswald.de/bdh-klinik-greifswald/rehabilitation/neurologische-rehabilitation.php, , 
http://www.short-care-klinik.de/, , 
https://www.drk-kh-gvm.de/, , 
https://www.krankenhaus-grimmen.de/, , 
https://kmg-kliniken.de/kmg-klinikum-guestrow/, , 
https://www.wmk-hvb.de/, Lighthouse was unable to reliably load the page you requested. Make sure you are testing the correct URL and that the server is properly responding to all requests. (Details: net::ERR_CERT_DATE_INVALID), 
https://www.klinikum-karlsburg.de/, , 
https://www.helios-gesundheit.de/kliniken/leezen/, , 
https://dbknb.de/, , 
http://www.drkmst.de/, , 
https://www.asklepios.com/parchim/, , 
https://www.asklepios.com/pasewalk/, , 
https://www.krankenhaus-plau.de/, , 
http://www.bodden-kliniken.de/krankenhaus.html, , 
https://www.med.uni-rostock.de/, , 
https://www.kliniksued-rostock.de/, , 
https://www.helios-gesundheit.de/kliniken/schwerin/, , 
https://www.helios-gesundheit.de/kliniken/schwerin/unser-angebot/unsere-fachbereiche-carl-friedrich-flemming-klinik/, , 
https://www.helios-gesundheit.de/kliniken/stralsund/, , 
https://www.drk-kh-teterow.de/, The page may not be loading as expected because your test URL (https://www.drk-kh-teterow.de/) was redirected to https://www.drk-kh-teterow.de/startseite. Try testing the second URL directly., 
https://www.ameos.eu/standorte/ameos-nord/ueckermuende/ameos-klinikum-ueckermuende/, , 
https://www.pgdiakonie.de/klinik-amsee/, INVALID URL, 
https://www.mueritz-klinikum.de/, , 
https://www.sana.de/wismar, , 
https://www.kreiskrankenhaus-wolgast.de/, The page may not be loading as expected because your test URL (https://www.kreiskrankenhaus-wolgast.de/) was redirected to https://www.kreiskrankenhaus-wolgast.de/de/home/. Try testing the second URL directly., 
https://fachklinik-waldeck.de/, , 
https://kmg-kliniken.de/kmg-klinikum-sondershausen/, , 
https://www.hufeland.de/, , 
https://www.median-kliniken.de/de/median-klinik-bad-tennstedt/, , 
https://www.helios-gesundheit.de/kliniken/bleicherode/, , 
https://www.eichsfeld-klinikum.de/, The page may not be loading as expected because your test URL (https://www.eichsfeld-klinikum.de/) was redirected to https://www.eichsfeld-klinikum.de/frontend/index.php. Try testing the second URL directly., 
https://www.kh-lengenfeld.de/, , 
https://www.oehk.de/, The page may not be loading as expected because your test URL (https://www.oehk.de/) was redirected to https://www.oehk.de/startseite.html. Try testing the second URL directly., 
https://www.krankenhaus.de/evangelisches-fachkrankenhaus-fuer-atemwegserkrankungen/, , 
https://www.shk-ndh.de/, , 
https://www.rkk-apolda.de/, The page may not be loading as expected because your test URL (https://www.rkk-apolda.de/) was redirected to https://www.rkk-apolda.de/startseite/. Try testing the second URL directly., 
https://www.marienstift-arnstadt.de/, , 
https://www.zentralklinik.de/, , 
https://www.helios-gesundheit.de/kliniken/blankenhain/, , 
https://www.helios-gesundheit.de/kliniken/erfurt/, , 
https://www.kkh-erfurt.de/, , 
https://www.helios-gesundheit.de/kliniken/gotha/, , 
https://www.ilm-kreis-kliniken.de/, , 
